"Pk","Player","College","draft_year","athlete_id","team_id","athlete_position_name","athlete_headshot_href","team_location","team_logo","minutes","field_goals_made","field_goals_attempted","three_point_field_goals_made","three_point_field_goals_attempted","free_throws_made","free_throws_attempted","offensive_rebounds","defensive_rebounds","rebounds","assists","steals","blocks","turnovers","fouls","points","games"
33,"Kyle Singler","Duke",2011,36156,150,"Forward",NA,"Duke","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",34.76,5.92,13.76,1.68,5.22,3.38,4.19,2.38,4.46,6.84,1.62,0.92,0.32,1.89,2.65,16.89,37
34,"Shelvin Mack","Butler",2011,42249,2086,"Guard",NA,"Butler","https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png",32.08,5.29,12.97,2.29,6.47,3.16,4.11,0.71,3.76,4.47,3.45,0.79,0.08,2.45,1.74,16.03,38
35,"Tyler Honeycutt","UCLA",2011,46171,26,"Forward",NA,"UCLA","https://a.espncdn.com/i/teamlogos/ncaa/500/26.png",34.97,4.36,10.76,1.67,4.61,2.36,3.21,1.52,5.7,7.21,2.82,0.88,2.06,3.03,1.58,12.76,33
36,"Jordan Williams","Maryland",2011,45916,120,"Forward",NA,"Maryland","https://a.espncdn.com/i/teamlogos/ncaa/500/120.png",32.52,6.45,12,0,0,3.97,6.91,3.67,8.09,11.76,0.64,0.7,1.36,1.61,2.42,16.88,33
37,"Trey Thompkins","Georgia",2011,41704,61,"Forward",NA,"Georgia","https://a.espncdn.com/i/teamlogos/ncaa/500/61.png",31.23,6.47,13.43,0.77,2.47,2.73,3.97,1.87,5.77,7.63,1.4,1.1,1.67,2.53,2.23,16.43,30
38,"Chandler Parsons","Florida",2011,36383,57,"Forward",NA,"Florida","https://a.espncdn.com/i/teamlogos/ncaa/500/57.png",34.14,4.31,8.97,1.19,3.25,1.5,2.69,2.06,5.69,7.75,3.78,0.94,0.42,2.25,1.86,11.31,36
40,"Jon Leuer","Wisconsin",2011,36138,275,"Forward",NA,"Wisconsin","https://a.espncdn.com/i/teamlogos/ncaa/500/275.png",33.5,6.68,14.21,1.59,4.29,3.32,3.94,1.68,5.56,7.24,1.65,0.5,0.88,1.59,2.21,18.26,34
41,"Darius Morris","Michigan",2011,3163079,130,"Guard",NA,"Michigan","https://a.espncdn.com/i/teamlogos/ncaa/500/130.png",34.83,5.74,11.74,0.46,1.83,3.09,4.31,0.89,3.09,3.97,6.71,1.03,0.03,2.94,2.11,15.03,35
43,"Malcolm Lee","UCLA",2011,41010,26,"Guard",NA,"UCLA","https://a.espncdn.com/i/teamlogos/ncaa/500/26.png",33.12,4.27,9.79,1.18,4,3.39,4.36,0.7,2.36,3.06,2.03,0.67,0.21,1.7,2.42,13.12,33
44,"Charles Jenkins","Hofstra",2011,31911,2275,"Guard",NA,"Hofstra","https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png",37.41,7.47,14.66,1.97,4.75,5.59,6.78,0.5,2.72,3.22,4.69,1.66,0.62,2.22,2,22.5,32
45,"Josh Harrellson","Kentucky",2011,41838,96,"Forward",NA,"Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",28.5,3.34,5.47,0.05,0.26,0.87,1.47,3.68,4.97,8.66,0.79,0.92,1.5,0.74,2.39,7.61,38
46,"Andrew Goudelock","College of Charleston",2011,36889,232,"Guard",NA,"Charleston","https://a.espncdn.com/i/teamlogos/ncaa/500/232.png",35.19,8.59,18.89,3.54,8.7,2.97,3.62,0.68,3.19,3.86,4.24,0.89,0.19,3.22,1.78,23.7,37
47,"Travis Leslie","Georgia",2011,41702,61,"Guard",NA,"Georgia","https://a.espncdn.com/i/teamlogos/ncaa/500/61.png",32.18,5.36,10.91,0.39,1.3,3.3,4.12,3.21,3.97,7.18,2.94,1.21,0.61,2.15,1.91,14.42,33
48,"Keith Benson","Oakland",2011,32376,2473,"Center",NA,"Oakland","https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png",32.5,6.62,12.15,0.24,0.65,4.41,6.94,2.56,7.56,10.12,1.06,0.79,3.59,1.91,3.12,17.88,34
49,"Josh Selby","Kansas",2011,51466,2305,"Guard",NA,"Kansas","https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png",20.38,2.77,7.42,1.31,3.62,1.08,1.42,0.38,1.85,2.23,2.15,0.81,0.04,2.04,1.69,7.92,26
