"Pk","Player","College","draft_year","athlete_id","team_id","athlete_position_name","athlete_headshot_href","team_location","team_logo","minutes","field_goals_made","field_goals_attempted","three_point_field_goals_made","three_point_field_goals_attempted","free_throws_made","free_throws_attempted","offensive_rebounds","defensive_rebounds","rebounds","assists","steals","blocks","turnovers","fouls","points","games"
24,"Damion James","Texas",2010,31581,251,"Guard/Forward",NA,"Texas","https://a.espncdn.com/i/teamlogos/ncaa/500/251.png",30.26,6.18,12.32,1.06,2.76,4.56,6.76,3.15,7.15,10.29,0.97,1.68,1.18,2.03,2.94,17.97,34
25,"Dominique Jones","South Florida",2010,36237,58,"Guard",NA,"South Florida","https://a.espncdn.com/i/teamlogos/ncaa/500/58.png",37.09,6.73,14.94,1.58,5.06,6.33,8.55,1.12,4.97,6.09,3.64,1.7,0.58,2.94,2.82,21.36,33
26,"Quincy Pondexter","Washington",2010,31658,264,"Forward",NA,"Washington","https://a.espncdn.com/i/teamlogos/ncaa/500/264.png",32.28,6.81,12.89,0.5,1.42,5.19,6.28,2.97,4.39,7.36,1.75,1.28,0.58,1.89,2.5,19.31,36
27,"Jordan Crawford","Xavier",2010,36467,2752,"Guard",NA,"Xavier","https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png",32.77,7.43,16.09,2.26,5.77,3.4,4.4,0.97,3.77,4.74,2.89,1.34,0.2,2.43,1.63,20.51,35
28,"Greivis Vasquez","Maryland",2010,32018,120,"Guard",NA,"Maryland","https://a.espncdn.com/i/teamlogos/ncaa/500/120.png",33.94,6.67,15.55,2.09,5.82,4.18,4.88,1.15,3.48,4.64,6.3,1.7,0.36,3.36,2.09,19.61,33
29,"Daniel Orton","Kentucky",2010,45884,96,"Forward",NA,"Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",13.21,1.26,2.39,0,0.05,0.87,1.66,1.18,2.13,3.32,0.39,0.55,1.39,1,2.32,3.39,38
30,"Lazar Hayward","Marquette",2010,31821,269,"Forward",NA,"Marquette","https://a.espncdn.com/i/teamlogos/ncaa/500/269.png",32.26,6.53,15.12,1.91,5.47,3.15,3.74,2.12,5.41,7.53,1.53,1.88,0.53,1.97,3.38,18.12,34
32,"Dexter Pittman","Texas",2010,31583,251,"Center",NA,"Texas","https://a.espncdn.com/i/teamlogos/ncaa/500/251.png",19.06,4.12,6.29,0,0,2.21,3.97,2.97,2.88,5.85,0.5,0.35,1.85,1.76,2.65,10.44,34
33,"Hassan Whiteside","Marshall",2010,46133,276,"Forward",NA,"Marshall","https://a.espncdn.com/i/teamlogos/ncaa/500/276.png",26.15,4.91,9.38,0.09,0.15,3.24,5.5,2.71,6.21,8.91,0.29,0.56,5.35,1.88,2.41,13.15,34
34,"Armon Johnson","Nevada",2010,36326,2440,"Guard",NA,"Nevada","https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png",34.82,6.36,13.03,0.52,2.12,2.39,3.48,0.79,2.55,3.33,5.52,0.85,0.36,3.36,1.76,15.64,33
36,"Terrico White","Ole Miss",2010,41334,145,"Guard",NA,"Ole Miss","https://a.espncdn.com/i/teamlogos/ncaa/500/145.png",31.46,5.49,12.77,1.74,5.09,2.43,3.4,1.57,3,4.57,1.49,0.89,0.2,1.34,1.77,15.14,35
37,"Darington Hobson","New Mexico",2010,36419,167,"Guard",NA,"New Mexico","https://a.espncdn.com/i/teamlogos/ncaa/500/167.png",33.57,5.51,12.54,1.11,3.09,3.71,5.69,2.14,7.14,9.29,4.57,1.26,0.43,2.97,1.94,15.86,35
38,"Andy Rautins","Syracuse",2010,27189,183,"Guard",NA,"Syracuse","https://a.espncdn.com/i/teamlogos/ncaa/500/183.png",32.49,3.71,8.49,2.8,6.89,1.89,2.31,0.51,2.86,3.37,4.89,1.97,0.23,2.8,2.17,12.11,35
39,"Landry Fields","Stanford",2010,31764,24,"Guard/Forward",NA,"Stanford","https://a.espncdn.com/i/teamlogos/ncaa/500/24.png",36.28,7.75,15.81,0.91,2.69,5.59,8.03,2.53,6.22,8.75,2.78,1.59,0.78,2.59,2.03,22,32
40,"Lance Stephenson","Cincinnati",2010,45944,2132,"Guard",NA,"Cincinnati","https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png",28.24,4.76,10.82,0.47,2.15,2.32,3.5,1.85,3.5,5.35,2.47,0.91,0.18,2.38,1.94,12.32,34
41,"Jarvis Varnado","Mississippi State",2010,32037,344,"Forward",NA,"Mississippi State","https://a.espncdn.com/i/teamlogos/ncaa/500/344.png",31.69,5.11,8.78,0,0,3.56,5.83,2.97,7.28,10.25,0.89,0.67,4.72,1.97,2.44,13.78,36
42,"Da'Sean Butler","West Virginia",2010,31667,277,"Forward",NA,"West Virginia","https://a.espncdn.com/i/teamlogos/ncaa/500/277.png",35.79,5.47,13.24,1.84,5.21,4.42,5.61,1.61,4.63,6.24,3.13,0.97,0.39,1.79,2.16,17.21,38
43,"Devin Ebanks","West Virginia",2010,41840,277,"Forward",NA,"West Virginia","https://a.espncdn.com/i/teamlogos/ncaa/500/277.png",34.15,4.24,9.26,0.09,0.88,3.44,4.47,2.91,5.18,8.09,2.44,1.06,0.68,2.21,1.59,12,34
46,"Gani Lawal","Georgia Tech",2010,36507,59,"Forward",NA,"Georgia Tech","https://a.espncdn.com/i/teamlogos/ncaa/500/59.png",25.83,4.78,9.03,0,0.03,3.53,6.17,2.92,5.56,8.47,0.42,0.44,1.36,2.17,2.11,13.08,36
47,"Tiny Gallon","Oklahoma",2010,45995,201,"Forward",NA,"Oklahoma","https://a.espncdn.com/i/teamlogos/ncaa/500/201.png",24.32,4,7.46,0.14,0.57,2.11,3.04,2.79,5.18,7.96,0.82,0.75,0.79,2.39,2.79,10.25,28
50,"Solomon Alabi","Florida State",2010,36130,52,"Center",NA,"Florida State","https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",25.62,4.16,7.78,0,0,3.38,4.25,2.47,3.72,6.19,0.5,0.62,2.34,1.91,2.34,11.69,32
51,"Magnum Rolle","Louisiana Tech",2010,26852,2348,"Forward/Center",NA,"Louisiana Tech","https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png",30.15,5.56,10.82,0,0,2.74,4.15,3.53,4.88,8.41,0.82,0.76,2.09,1.97,2.79,13.85,34
52,"Luke Harangody","Notre Dame",2010,31678,87,"Forward",NA,"Notre Dame","https://a.espncdn.com/i/teamlogos/ncaa/500/87.png",32.97,8.13,16.9,0.83,2.7,4.67,5.93,2.23,6.87,9.1,1.57,0.47,0.67,1.8,2.33,21.77,30
54,"Willie Warren","Oklahoma",2010,41570,201,"Guard",NA,"Oklahoma","https://a.espncdn.com/i/teamlogos/ncaa/500/201.png",32.05,4.79,11.11,1.32,4.47,4.26,5.58,0.68,2.63,3.32,4,0.95,0,3.74,2.26,15.16,19
55,"Jeremy Evans","Western Kentucky",2010,32795,98,"Forward",NA,"Western Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/98.png",26.5,4.03,6.21,0.09,0.35,1.88,2.74,2.97,3.94,6.91,0.74,0.82,1.79,1.06,2.88,10.03,34
57,"Ryan Reid","Florida State",2010,26995,52,"Forward",NA,"Florida State","https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",22.71,2.65,5.39,0,0,1.48,2.48,1.87,2.1,3.97,1.13,0.58,0.52,1.65,1.48,6.77,31
58,"Derrick Caracter","Texas-El Paso",2010,32008,2638,"Forward",NA,"UTEP","https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png",26.67,5.48,9.67,0.15,0.56,2.96,4.41,2.67,5.41,8.07,1.11,0.96,0.85,2.85,3.04,14.07,27
59,"Stanley Robinson","UConn",2010,31556,41,"Forward",NA,"UConn","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png",34.21,5.97,11.38,0.79,2.32,1.79,2.85,2.68,4.97,7.65,1,0.88,1.21,2.26,1.53,14.53,34
60,"Dwayne Collins","Miami (FL)",2010,31999,2390,"Forward",NA,"Miami","https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png",24.69,4.41,7.31,0,0,3.14,5.52,2.93,4.83,7.76,1.17,0.59,1.1,2.45,2.34,11.97,29
1,"Kyrie Irving","Duke",2011,51267,150,"Guard",NA,"Duke","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",27.55,5,9.45,1.64,3.55,5.82,6.45,0.55,2.82,3.36,4.27,1.45,0.55,2.45,2.09,17.45,11
2,"Derrick Williams","Arizona",2011,45854,12,"Forward",NA,"Arizona","https://a.espncdn.com/i/teamlogos/ncaa/500/12.png",30.03,5.95,10,1.11,1.95,6.5,8.71,2.76,5.5,8.26,1.13,0.97,0.68,2.63,2.79,19.5,38
2,"Derrick Williams","Arizona",2011,51560,257,"Forward",NA,"Richmond","https://a.espncdn.com/i/teamlogos/ncaa/500/257.png",4.48,0.48,0.93,0.11,0.26,0.59,0.78,0.59,0.44,1.04,0.11,0.11,0.04,0.33,0.81,1.67,27
4,"Tristan Thompson","Texas",2011,37337,249,"Guard",NA,"North Texas","https://a.espncdn.com/i/teamlogos/ncaa/500/249.png",32,4.79,10.42,2,4.79,6.39,7.67,0.48,2.7,3.18,1.79,0.73,0.12,2.24,1.88,17.97,33
4,"Tristan Thompson","Texas",2011,51446,251,"Forward",NA,"Texas","https://a.espncdn.com/i/teamlogos/ncaa/500/251.png",30.94,4.78,8.75,0,0,3.53,7.25,3.83,4,7.83,1.25,0.94,2.39,1.78,2.78,13.08,36
8,"Brandon Knight","Kentucky",2011,51542,96,"Guard",NA,"Kentucky","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png",35.87,5.71,13.5,2.29,6.08,3.58,4.5,0.66,3.37,4.03,4.18,0.66,0.21,3.16,2.18,17.29,38
8,"Brandon Knight","Kentucky",2011,54017,2443,"Guard",NA,"New Orleans","https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png",23,3,6,1,2,0,0,1,6,7,4,0,0,4,4,7,1
9,"Kemba Walker","UConn",2011,41515,41,"Guard",NA,"UConn","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png",37.63,7.71,18.02,1.83,5.54,6.29,7.68,1.29,4.15,5.44,4.49,1.88,0.17,2.27,1.37,23.54,41
10,"Jimmer Fredette","BYU",2011,36409,252,"Guard",NA,"BYU","https://a.espncdn.com/i/teamlogos/ncaa/500/252.png",35.76,9.35,20.68,3.35,8.46,6.81,7.62,0.65,2.78,3.43,4.32,1.32,0.03,3.54,1.32,28.86,37
11,"Klay Thompson","Washington State",2011,41026,265,"Guard",NA,"Washington State","https://a.espncdn.com/i/teamlogos/ncaa/500/265.png",34.68,7.06,16.21,2.88,7.24,4.56,5.44,0.74,4.5,5.24,3.74,1.65,0.94,3.38,2.91,21.56,34
12,"Alec Burks","Colorado",2011,46086,38,"Guard",NA,"Colorado","https://a.espncdn.com/i/teamlogos/ncaa/500/38.png",31.39,6.61,14.08,0.74,2.53,6.55,7.95,2.39,4.11,6.5,2.95,1.08,0.32,2.61,2.34,20.5,38
13,"Markieff Morris","Kansas",2011,44654,2305,"Forward",NA,"Kansas","https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png",24.37,5.13,8.71,0.66,1.55,2.71,4.03,2.71,5.61,8.32,1.39,0.79,1.13,2.05,2.84,13.63,38
14,"Marcus Morris Sr.","Kansas",2011,41767,2305,"Forward",NA,"Kansas","https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png",28.32,6.32,11.08,0.68,2,3.89,5.66,2.61,5.03,7.63,1.63,0.84,0.63,1.76,2.55,17.21,38
15,"Kawhi Leonard","San Diego State",2011,46049,21,"Forward",NA,"San Diego State","https://a.espncdn.com/i/teamlogos/ncaa/500/21.png",32.56,5.86,13.19,0.69,2.39,3.06,4.03,3.08,7.47,10.56,2.53,1.42,0.58,2.11,2.47,15.47,36
16,"Nikola Vucevic","USC",2011,41019,30,"Forward",NA,"USC","https://a.espncdn.com/i/teamlogos/ncaa/500/30.png",34.91,6.32,12.53,0.85,2.44,3.62,4.79,2.85,7.44,10.29,1.59,0.53,1.38,1.71,2.82,17.12,34
17,"Iman Shumpert","Georgia Tech",2011,40975,59,"Guard",NA,"Georgia Tech","https://a.espncdn.com/i/teamlogos/ncaa/500/59.png",32,5.71,14.06,1.35,4.87,4.55,5.65,1.74,4.19,5.94,3.48,2.74,0.19,2.32,2.77,17.32,31
18,"Chris Singleton","Florida State",2011,40974,52,"Forward",NA,"Florida State","https://a.espncdn.com/i/teamlogos/ncaa/500/52.png",29.04,4.52,10.15,1.22,3.37,3.11,4.67,1.93,4.7,6.63,1.15,1.96,1.52,2.15,3.26,13.37,27
19,"Tobias Harris","Tennessee",2011,51417,2633,"Forward",NA,"Tennessee","https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png",29.21,5.44,11.82,0.68,2.24,3.76,5,1.97,5.29,7.26,1.29,0.71,0.85,1.82,2.06,15.32,34
21,"Nolan Smith","Duke",2011,36157,150,"Guard",NA,"Duke","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png",34.03,7.03,15.35,1.54,4.41,5.05,6.22,1.19,3.3,4.49,5.11,1.22,0.08,3.19,1.95,20.65,37
22,"Kenneth Faried","Morehead State University",2011,37289,2413,"Forward/Center",NA,"Morehead State","https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png",34.97,6.61,10.7,0,0,4.15,7.18,5.76,8.58,14.33,1.09,1.88,2.24,2.64,3.09,17.36,33
24,"Reggie Jackson","Boston College",2011,41460,103,"Guard",NA,"Boston College","https://a.espncdn.com/i/teamlogos/ncaa/500/103.png",34.15,6.44,12.79,2.09,4.97,3.21,4.03,1.03,3.26,4.29,4.47,1.06,0.53,2.38,1.71,18.18,34
25,"MarShon Brooks","Providence",2011,36162,2507,"Guard/Forward",NA,"Providence","https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png",36.5,8.62,17.84,2.09,6.16,5.28,6.84,2.25,4.78,7.03,2.5,1.5,1.22,3.06,2.5,24.62,32
26,"Jordan Hamilton","Texas",2011,41309,2329,"Forward",NA,"Lehigh","https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png",16.31,1.85,3.92,0.54,1.69,0.81,1.08,0.85,1.08,1.92,0.42,0.27,0.5,0.88,2.27,5.04,26
26,"Jordan Hamilton","Texas",2011,46197,251,"Guard/Forward",NA,"Texas","https://a.espncdn.com/i/teamlogos/ncaa/500/251.png",32.22,6.75,15.33,2.5,6.5,2.64,3.39,2,5.67,7.67,2.11,0.86,0.64,2.14,1.78,18.64,36
27,"JaJuan Johnson","Purdue",2011,36150,2509,"Forward/Center",NA,"Purdue","https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png",35.38,7.56,15.29,0.44,1.5,4.97,6.15,2.41,6.15,8.56,0.97,0.88,2.32,1.65,1.56,20.53,34
28,"Norris Cole","Cleveland State University",2011,37147,325,"Guard",NA,"Cleveland State","https://a.espncdn.com/i/teamlogos/ncaa/500/325.png",35.69,6.97,15.89,1.42,4.14,6.31,7.39,0.75,5.08,5.83,5.31,2.22,0.08,2.69,2.42,21.67,36
29,"Cory Joseph","Texas",2011,51445,251,"Guard",NA,"Texas","https://a.espncdn.com/i/teamlogos/ncaa/500/251.png",32.39,3.78,8.94,1.44,3.5,1.42,2.03,0.64,2.92,3.56,3.03,1.03,0.31,1.5,1.81,10.42,36
30,"Jimmy Butler","Marquette",2011,41080,269,"Guard/Forward",NA,"Marquette","https://a.espncdn.com/i/teamlogos/ncaa/500/269.png",34.65,5.05,10.32,0.54,1.57,5.08,6.49,2.43,3.65,6.08,2.32,1.43,0.35,1.46,1.32,15.73,37
32,"Justin Harper","Richmond",2011,36087,257,"Forward",NA,"Richmond","https://a.espncdn.com/i/teamlogos/ncaa/500/257.png",31.84,6.62,12.41,2.08,4.65,2.54,3.19,1.68,5.24,6.92,1.16,0.62,1.24,1.51,2.22,17.86,37
