"Player","College","draft_year","Pk","athlete_id","team_location","num_years_college","college_1","college_2","college_3","college_4","nba_season_1","nba_season_2","nba_season_3","nba_season_4","nba_season_5"
"Ekpe Udoh","Baylor",2010,6,31889,"Baylor",3,11.911,9.65,11.093,NA,-1.65,0.05,-1.02,-2.01,-2.06
"Elijah Hughes","Syracuse",2020,39,4066446,"Syracuse",3,7.51,13.714,11.093,NA,-1.94,-2.86,NA,NA,NA
"Elliot Williams","Memphis",2010,22,41721,"Memphis",2,13.177,9.65,NA,NA,-1.97,-0.45,-0.69,-1.62,-2.38
"Emoni Bates","Eastern Michigan",2023,49,4433620,"Eastern Michigan",2,5.544,9.65,NA,NA,-2.45,-1.55,-1.88,NA,NA
"Enrique Freeman","Akron",2024,50,4592699,"Akron",4,4.909,11.123,11.897,14.929,-2.81,-1.85,NA,NA,NA
"Eric Bledsoe","Kentucky",2010,18,45881,"Kentucky",1,4.63,NA,NA,NA,-0.93,0.57,1.67,2.13,2.35
"Eric Gordon","Indiana",2008,7,36469,"Indiana",1,16.364,NA,NA,NA,-0.47,-0.81,-0.09,0,-0.5
"Eric Maynor","VCU",2009,20,27371,"VCU",4,16.191,20.193,11.093,13.329,-1.15,-0.96,-0.7,-2.44,-3.68
"Eric Paschall","Villanova",2019,41,3133817,"Villanova",4,6.871,8.731,10.466,13.329,-1.6,-2.52,-1.31,NA,NA
"Erick Green","Virginia Tech",2013,46,45918,"Virginia Tech",4,5.805,12.836,21.16,13.329,-3.72,-3.32,NA,NA,NA
"Erik Murphy","Florida",2013,49,46070,"Florida",4,6.634,9.359,11.093,13.329,-2.62,NA,NA,NA,NA
"Evan Mobley","USC",2021,3,4432158,"USC",1,18.468,NA,NA,NA,-1.16,0.9,0.95,3.3,2.92
"Evan Turner","Ohio State",2010,2,36135,"Ohio State",3,4.829,14.488,25,NA,-1.97,-1.59,-1.58,-2.91,-1.49
"Fab Melo","Syracuse",2012,22,51343,"Syracuse",2,4.984,9.65,NA,NA,-2.44,NA,NA,NA,NA
