"Player","athlete_id","num_years_college","dpm"
"Anthony Davis",56353,1,4.21
"Anthony Davis",56353,1,2.31
"Anthony Davis",56353,1,3.04
"Anthony Edwards",4594268,1,0.64
"Anthony Edwards",4594268,1,2.23
"Anthony Edwards",4594268,1,3.15
"Anthony Edwards",4594268,1,3.62
"Anthony Edwards",4594268,1,4.29
"Anthony Randolph",36181,1,-0.95
"Anthony Randolph",36181,1,-1.09
"Anthony Randolph",36181,1,-1.39
"Anthony Randolph",36181,1,-1.14
"Anthony Randolph",36181,1,-1.1
"Antoine Wright",11269,3,-3.58
"Antoine Wright",11269,3,-2.7
"Antoine Wright",11269,3,-2.77
"Antoine Wright",11269,3,-0.39
"Antoine Wright",11269,3,-1.06
"Anton Watson",4431705,5,-2.75
"Anton Watson",4431705,5,-2.62
"Anton Watson",4431705,5,-5
"Anton Watson",4431705,5,-5
"Anton Watson",4431705,5,-5
"Antonio Reeves",4592686,5,-1.78
"Antonio Reeves",4592686,5,-1.04
"Antonio Reeves",4592686,5,-5
"Antonio Reeves",4592686,5,-5
"Antonio Reeves",4592686,5,-5
"Archie Goodwin",61841,1,-2.34
"Archie Goodwin",61841,1,-1.88
"Archie Goodwin",61841,1,-2.37
"Archie Goodwin",61841,1,-2.21
"Archie Goodwin",61841,1,-5
"Armon Johnson",36326,3,-3.05
"Armon Johnson",36326,3,-3.15
"Armon Johnson",36326,3,-5
"Armon Johnson",36326,3,-5
"Armon Johnson",36326,3,-5
"Arnett Moultrie",41183,3,-0.7
"Arnett Moultrie",41183,3,-1.67
"Arnett Moultrie",41183,3,-5
"Arnett Moultrie",41183,3,-5
"Arnett Moultrie",41183,3,-5
"Arron Afflalo",22163,3,-1.47
"Arron Afflalo",22163,3,-1.54
"Arron Afflalo",22163,3,-0.61
"Arron Afflalo",22163,3,0.1
"Arron Afflalo",22163,3,-0.58
"Arsalan Kazemi",45677,4,-1.14
"Arsalan Kazemi",45677,4,-5
"Arsalan Kazemi",45677,4,-5
"Arsalan Kazemi",45677,4,-5
"Arsalan Kazemi",45677,4,-5
"Asa Newell",4873201,1,-0.59
"Asa Newell",4873201,1,-5
"Asa Newell",4873201,1,-5
"Asa Newell",4873201,1,-5
"Asa Newell",4873201,1,-5
"Austin Daye",36390,2,-1.2
"Austin Daye",36390,2,-1.06
"Austin Daye",36390,2,-2.6
"Austin Daye",36390,2,-1.92
"Austin Daye",36390,2,-1.79
"Austin Rivers",56112,1,-1.77
"Austin Rivers",56112,1,-1.54
"Austin Rivers",56112,1,-2.5
"Austin Rivers",56112,1,-2.53
"Austin Rivers",56112,1,-1.8
"Avery Bradley",46196,1,-2.63
"Avery Bradley",46196,1,-0.43
"Avery Bradley",46196,1,-1.12
"Avery Bradley",46196,1,-0.68
"Avery Bradley",46196,1,-0.28
"Ayo Dosunmu",4397002,3,-1.94
"Ayo Dosunmu",4397002,3,-1.74
"Ayo Dosunmu",4397002,3,-1.07
"Ayo Dosunmu",4397002,3,-1.41
"Ayo Dosunmu",4397002,3,-0.4
"Balsa Koprivica",4432829,2,-1.14
"Balsa Koprivica",4432829,2,-5
"Balsa Koprivica",4432829,2,-5
"Balsa Koprivica",4432829,2,-5
"Balsa Koprivica",4432829,2,-5
"Bam Adebayo",4066261,1,-1.47
"Bam Adebayo",4066261,1,1.11
"Bam Adebayo",4066261,1,1.93
"Bam Adebayo",4066261,1,1.98
"Bam Adebayo",4066261,1,3.06
"Baylor Scheierman",4593841,5,-0.92
"Baylor Scheierman",4593841,5,-0.33
"Baylor Scheierman",4593841,5,-5
"Baylor Scheierman",4593841,5,-5
"Baylor Scheierman",4593841,5,-5
"Ben Bentil",3136469,2,-3.13
"Ben Bentil",3136469,2,-5
"Ben Bentil",3136469,2,-5
"Ben Bentil",3136469,2,-5
"Ben Bentil",3136469,2,-5
"Ben McLemore",56652,1,-2.49
"Ben McLemore",56652,1,-0.62
"Ben McLemore",56652,1,-0.33
"Ben McLemore",56652,1,-0.88
"Ben McLemore",56652,1,-2.4
"Ben Sheppard",4433076,4,-0.56
"Ben Sheppard",4433076,4,-1.95
"Ben Sheppard",4433076,4,-1.43
"Ben Sheppard",4433076,4,-5
"Ben Sheppard",4433076,4,-5
"Ben Simmons",3907387,1,-0.51
"Ben Simmons",3907387,1,1.36
"Ben Simmons",3907387,1,1.3
"Ben Simmons",3907387,1,0.85
"Ben Simmons",3907387,1,1.96
"Bennedict Mathurin",4683634,2,-3.01
"Bennedict Mathurin",4683634,2,-2.96
"Bennedict Mathurin",4683634,2,-1.5
"Bennedict Mathurin",4683634,2,-1.6
"Bennedict Mathurin",4683634,2,-5
"Bernard James",51353,2,-2.43
"Bernard James",51353,2,-3.35
"Bernard James",51353,2,-1.61
"Bernard James",51353,2,-5
"Bernard James",51353,2,-5
"Bernard Robinson",769,4,-1.79
"Bernard Robinson",769,4,-0.17
"Bernard Robinson",769,4,-0.65
"Bernard Robinson",769,4,-5
"Bernard Robinson",769,4,-5
"Blake Griffin",36259,2,-0.54
"Blake Griffin",36259,2,1.33
"Blake Griffin",36259,2,3.63
"Blake Griffin",36259,2,3.07
"Blake Griffin",36259,2,4.4
"Blake Wesley",4683935,1,-2.9
"Blake Wesley",4683935,1,-2.04
"Blake Wesley",4683935,1,-1.64
"Blake Wesley",4683935,1,-2.38
"Blake Wesley",4683935,1,-5
"Bobby Jones",11303,4,-3.03
"Bobby Jones",11303,4,-2.44
"Bobby Jones",11303,4,-1.61
"Bobby Jones",11303,4,-1.19
"Bobby Jones",11303,4,-1.26
"Bobby Portis",66332,2,-3.65
"Bobby Portis",66332,2,-1.49
"Bobby Portis",66332,2,0.2
"Bobby Portis",66332,2,-0.98
"Bobby Portis",66332,2,-1.84
"Bol Bol",4397102,1,-0.3
"Bol Bol",4397102,1,-1.15
"Bol Bol",4397102,1,-1.93
"Bol Bol",4397102,1,-0.07
"Bol Bol",4397102,1,0.13
"Bones Hyland",4592492,2,-1.14
"Bones Hyland",4592492,2,-5
"Bones Hyland",4592492,2,-5
"Bones Hyland",4592492,2,-5
"Bones Hyland",4592492,2,-5
"Bracey Wright",10975,3,-1.47
"Bracey Wright",10975,3,-1.26
"Bracey Wright",10975,3,-5
"Bracey Wright",10975,3,-5
"Bracey Wright",10975,3,-5
"Bradley Beal",56792,1,-0.4
"Bradley Beal",56792,1,0.02
"Bradley Beal",56792,1,0.22
"Bradley Beal",56792,1,-0.06
"Bradley Beal",56792,1,2.37
"Brandan Wright",31611,1,-1.14
"Brandan Wright",31611,1,-1.13
"Brandan Wright",31611,1,-0.63
"Brandan Wright",31611,1,-1.76
"Brandan Wright",31611,1,-0.8
"Branden Dawson",56933,4,-2.45
"Branden Dawson",56933,4,-5
"Branden Dawson",56933,4,-5
"Branden Dawson",56933,4,-5
"Branden Dawson",56933,4,-5
"Brandin Podziemski",4709138,2,-1.34
"Brandin Podziemski",4709138,2,-0.02
"Brandin Podziemski",4709138,2,0.52
"Brandin Podziemski",4709138,2,-5
"Brandin Podziemski",4709138,2,-5
"Brandon Bass",15370,2,-3.36
"Brandon Bass",15370,2,-2.79
"Brandon Bass",15370,2,-1.62
"Brandon Bass",15370,2,-0.83
"Brandon Bass",15370,2,-0.96
"Brandon Boston Jr.",4432162,1,-1.88
"Brandon Boston Jr.",4432162,1,-2.05
"Brandon Boston Jr.",4432162,1,-3.24
"Brandon Boston Jr.",4432162,1,-1.15
"Brandon Boston Jr.",4432162,1,-1.18
"Brandon Clarke",3906665,3,0.04
"Brandon Clarke",3906665,3,1.05
"Brandon Clarke",3906665,3,1.48
"Brandon Clarke",3906665,3,1.09
"Brandon Clarke",3906665,3,0.84
"Brandon Ingram",3913176,1,-2.23
"Brandon Ingram",3913176,1,0.13
"Brandon Ingram",3913176,1,-0.76
"Brandon Ingram",3913176,1,0.49
"Brandon Ingram",3913176,1,1.59
"Brandon Knight",51542,1,-3
"Brandon Knight",51542,1,-2.16
"Brandon Knight",51542,1,-2.37
"Brandon Knight",51542,1,-0.89
"Brandon Knight",51542,1,-1.54
"Brandon Knight",51542,1,-1.65
"Brandon Knight",54017,2,-3
"Brandon Knight",54017,2,-2.16
"Brandon Knight",54017,2,-2.37
"Brandon Knight",54017,2,-0.89
"Brandon Knight",54017,2,-1.54
"Brandon Knight",54017,2,-1.65
"Brandon Miller",4433287,1,-1.53
"Brandon Miller",4433287,1,-1.55
"Brandon Miller",4433287,1,0.72
"Brandon Miller",4433287,1,-5
"Brandon Miller",4433287,1,-5
"Brandon Roy",11305,4,0.25
"Brandon Roy",11305,4,1.24
"Brandon Roy",11305,4,3.36
"Brandon Roy",11305,4,2.08
"Brandon Roy",11305,4,0.66
"Brandon Rush",28158,3,-1.81
"Brandon Rush",28158,3,-1.33
"Brandon Rush",28158,3,-1.74
"Brandon Rush",28158,3,0.02
"Brandon Rush",28158,3,0.68
"Brice Johnson",61653,4,-2.36
"Brice Johnson",61653,4,-3.34
"Brice Johnson",61653,4,-5
"Brice Johnson",61653,4,-5
"Brice Johnson",61653,4,-5
"Brice Sensabaugh",5105839,1,-2.85
"Brice Sensabaugh",5105839,1,-0.98
"Brice Sensabaugh",5105839,1,-0.6
"Brice Sensabaugh",5105839,1,-5
"Brice Sensabaugh",5105839,1,-5
"Bronny James",4683774,1,-2.29
"Bronny James",4683774,1,-1.71
"Bronny James",4683774,1,-5
"Bronny James",4683774,1,-5
"Bronny James",4683774,1,-5
"Brook Lopez",31765,2,-0.46
"Brook Lopez",31765,2,-0.57
"Brook Lopez",31765,2,-0.36
"Brook Lopez",31765,2,-0.11
"Brook Lopez",31765,2,1.85
"Brooks Barnhizer",4684208,4,-2.8
