Rk,Yr,Ht,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl
81,So,6-2,Daniel Freitag,Buffalo,MAC,21,Scoring PG,58.2,4.3,2.2,3.8,4.8,-1,118.8,115.3,29.1,50.7,58.6,2.4,13.6,23.5,11.2,1.2,2.4
82,So,6-0,Carson Johnson,Denver,Sum,29,Combo G,90.1,4.2,1,-0.3,3.4,-3.7,121.7,126.4,24.4,53,58.6,0.6,5.7,15.5,9.5,0.2,0.8
83,So,6-6,Isaac Celiscar,Yale,Ivy,29,Wing G,78,4.2,2.8,5.4,4.7,0.7,132.6,108.6,19.8,61.1,65.3,7.4,17,18.4,13.5,1.2,1.5
84,Sr,6-9,Malik Reneau,Miami FL,ACC,35,PF/C,72.5,4.2,3.7,7.3,5.4,1.9,116.4,98,30.1,57,61.8,10.2,16.6,13.8,18.6,3.3,2.1
85,Sr,5-11,Brody Robinson,Oakland,Horz,31,Pure PG,90.8,4.2,2.1,2,4,-2,120.3,117.8,24.2,51.8,60.2,0.9,7.6,31.4,16.4,0.1,2
86,Jr,5-10,Tijan Saine Jr.,Weber St.,BSky,30,Scoring PG,83.1,4.2,2.1,3.1,4.5,-1.3,123.9,116.6,24.5,52.2,60.7,1,7.3,25,12.9,0,1.8
87,Jr,6-1,Tariq Francis,Rutgers,B10,34,Scoring PG,68.7,4.2,2.5,6.9,5.6,1.2,117.4,108.1,29.3,47.9,55.9,1.3,8.7,25.7,8.7,0.1,2.2
88,Jr,6-3,Terrence Brown,Utah,B12,32,Scoring PG,78.6,4.2,2.6,3.1,3.7,-0.7,108.1,110.6,32.9,48.6,54,1.3,7.6,27.7,13.7,0.3,2.6
89,Jr,6-4,Jake Fiegen,Cornell,Ivy,22,Wing G,57.5,4.1,1.5,5.2,7.2,-2,130.6,118.1,23.9,63.9,66.1,7.1,15.3,14.4,9.8,1.4,2
90,Sr,6-4,Jayden Stone,Missouri,SEC,26,Wing G,58.8,4.1,3.3,7.2,5.7,1.5,130,102.3,18.2,59.3,63.3,3.5,16.1,11.6,10.5,0.9,1.7
91,Sr,6-10,Logan Duncomb,Winthrop,BSth,30,C,59.8,4.1,2.4,8.1,7.7,0.3,125.5,106.2,31.4,58.7,64.5,14.8,22.6,15.6,13.8,3.7,1.8
92,Fr,6-9,Allen Graves,Santa Clara,WCC,34,Stretch 4,57,4.1,3.1,12.7,8.5,4.2,135.4,94.6,22.4,58.2,61.5,13.9,20,13.8,8.2,5,4.9
93,Sr,6-10,Duke Brennan,Villanova,BE,32,C,74.2,4.1,3.9,5.9,4.3,1.7,122.8,97.3,21.1,65.8,65.4,15.1,24,12,18.3,1.9,1.6
94,Sr,6-2,Jed Miller,Montana St.,BSky,29,Wing G,89.1,4.1,3.3,4.8,4,0.8,126.8,108,20.4,57.8,61.3,5.8,13.6,15,10.9,0.4,2.5
95,Sr,6-1,Don McHenry,Utah,B12,32,Combo G,76.9,4.1,2.3,4,5.4,-1.4,118.6,113.3,24,53.7,57.7,2,8.5,12,7.9,0,1.2
96,So,6-8,DeSean Goode,Robert Morris,Horz,31,PF/C,76.8,4.1,3,6.1,5.6,0.5,135.7,106.1,19.7,69.9,71.4,11.5,21.3,8.5,14.3,1.9,1.6
97,So,6-5,"Paul McNeil, Jr.",N.C. State,ACC,34,Wing G,70.7,4.1,2.8,6.3,6.4,-0.1,131.3,105.9,18.2,59.7,63.5,3.2,11,5.2,4.6,1.7,1.2
98,Sr,5-10,Daeshun Ruffin,Jackson St.,SWAC,28,Pure PG,70.8,4.1,1.6,2.6,4.2,-1.7,107.9,120.6,36.2,47.2,55.3,1.7,7.5,45.2,17.4,0.5,2.7
99,So,6-5,Gavin Doty,Siena,MAAC,35,Wing G,91.6,4.1,3.5,4.8,4.1,0.6,122,106.7,23.4,50.8,57,5,17.4,13.1,7.3,0.2,2.1
100,So,6-3,Terrence Hill Jr.,VCU,A10,36,Scoring PG,62.3,4.1,2.5,7.5,7,0.4,128,106,25,57.6,62.2,1.4,10.4,23.9,10.2,0.2,1.3
101,Fr,6-5,Tounde Yessoufou,Baylor,B12,33,Wing G,81.7,4,3.6,4.9,3.9,1,113,102.8,25.4,51.1,54.1,8.7,12,8.9,13.1,1.9,3.3
102,So,6-3,Joshua Dent,Saint Mary's,WCC,32,Pure PG,91.1,4,4.6,5.8,2.8,3,122.1,97.8,19,55.6,60.9,1,6.7,28.8,20.4,0.5,2.6
103,Fr,6-4,Jake Hall,New Mexico,MWC,36,Combo G,78.6,4,3.4,5.9,5.2,0.7,125.8,103.4,19.9,61,63.3,2,9.5,9.9,9.8,0.1,1.5
104,Sr,6-6,Quadir Copeland,N.C. State,ACC,34,Pure PG,71.3,4,3.3,6.3,3.7,2.6,116.2,100.8,28.1,53,59.2,2.4,11.9,41.8,20.1,0.6,3.6
105,So,6-1,John Mobley Jr.,Ohio St.,B10,31,Scoring PG,71.4,4,3.2,5.5,5.3,0.1,117.8,104.9,23.5,56.7,60.4,1.5,7.7,17,14.9,0.4,1.4
106,Sr,6-2,Miles Barnstable,Tulsa,Amer,36,Wing G,75.7,4,2.7,5.2,5,0.2,131.6,108.4,18.4,59.7,64.5,3.7,10.3,8.7,9.7,1.3,1.5
107,Fr,6-6,Lewis Walker,North Carolina A&T,CAA,28,Wing G,85.5,4,1.9,1.1,3.1,-1.9,124.1,118.4,23.3,54.9,63.5,3.4,12.9,10.9,12.6,0.2,1.1
108,Sr,6-3,Ryan Conwell,Louisville,ACC,34,Combo G,75,4,4,5.9,4.3,1.5,113.2,96.7,27.5,52.1,56.6,2.3,14.4,16.5,14.2,0.6,2
109,So,6-6,Isaiah Evans,Duke,ACC,38,Wing G,70.5,3.9,4.1,8.2,5.8,2.4,122.4,92.2,21.8,55,59,1.7,10.7,8.4,11,2.9,1.5
110,Fr,6-1,Preston Edmead,Hofstra,CAA,33,Scoring PG,85.6,3.9,2.9,3.7,4,-0.3,118.6,110.4,25,51.4,57.1,2.7,8.6,25.4,15.7,0,0.8
111,Sr,6-5,Corey Camper Jr.,Nevada,MWC,33,Wing G,71,3.9,3.4,7.2,5.7,1.5,119.1,103.5,23.6,53.6,57.4,3.7,13.7,18.7,9.7,1.1,2.1
112,Sr,6-2,Jadin Booth,Samford,SC,29,Combo G,88.2,3.9,2.6,3.7,4.7,-1,122.7,113.8,24,59.4,64.2,0.9,10.4,12.7,10.4,0.2,1.8
113,Fr,6-5,Meleek Thomas,Arkansas,SEC,37,Combo G,75.2,3.9,3.4,5.9,4.3,1.6,120.3,101.9,22.1,52.2,55.9,3.5,10.8,13.2,8.2,0.6,2.8
114,Fr,6-5,Mikel Brown Jr.,Louisville,ACC,21,Scoring PG,43.8,3.9,3.7,5.4,4.2,1.2,111.9,98.3,31,51.1,57.7,0.2,12.1,30.3,19.3,0.5,2.4
115,Jr,6-4,Rowan Brumbaugh,Tulane,Amer,32,Combo G,89.5,3.9,2.8,3.5,3.9,-0.4,112.3,111.8,27,52.2,59.1,2.9,12.2,23.2,14.3,0.6,2.5
116,Sr,6-4,Otega Oweh,Kentucky,SEC,36,Combo G,81.6,3.9,4.2,5.9,3.3,2.6,111.2,97,27.1,51,55.4,3.3,12.9,16.3,13.3,0.9,3.1
117,Sr,6-10,Izaiyah Nelson,South Florida,Amer,33,C,67.2,3.9,3.8,8.6,5.7,2.8,126.3,94,23.7,56.5,60.9,14.4,21,8.8,11.2,5.9,3.3
118,So,7-0,Matas Vokietaitis,Texas,SEC,35,C,65,3.9,2.8,3.5,3.4,0,118.7,103.2,27.7,61,63.9,12.2,19.5,5.1,16.3,3.4,0.4
119,Sr,6-0,Sam Hoiberg,Nebraska,B10,35,Scoring PG,80.3,3.8,5.1,8.1,1.7,6.4,129.7,88.8,15.3,61.1,63.1,3.5,15,24.4,14.6,0.4,3.7
120,Jr,6-11,Alex Condon,Florida,SEC,34,PF/C,74.2,3.8,4.6,9.5,4.8,4.8,117.6,90.9,23.6,56.9,59.4,8.2,17.4,20,18.7,4.6,1.2
121,Sr,6-7,Chad Baker-Mazara,USC,B10,25,Stretch 4,59.1,3.8,3.2,8,6.1,1.9,114.1,102.9,27.6,53.5,60,2.1,13.4,19.8,16.4,4.7,1.4
122,Jr,6-3,Baraka Okojie,Mercer,SC,29,Scoring PG,87.7,3.8,2.2,1.5,2.9,-1.3,116,116.7,29.4,47.5,57,2.1,7.3,28.5,15.5,0.2,2.2
